File name,Sample name,Group,CM,CA,CAL
1.csv,21.2.8.Qni-01,1,0.016,0.129,5.574
2.csv,21.2.8.Qni-02,1,0.027,0.105,4.885
3.csv,21.2.8.Qni-09,1,0.016,0.093,4.589
4.csv,21.2.8.Qni-10,1,0.019,0.104,4.32
5.csv,21.2.8.Qni-12,1,0.02,0.082,3.45
6.csv,21.2.8.Qni-14,1,0.058,0.088,4.815
7.csv,21.2.8.Qni-15,1,0.156,0.092,4.054
8.csv,21.2.8.Qni-17,1,0.021,0.104,4.886
9.csv,21.2.8.Qni-20,1,0.027,0.118,4.72
10.csv,21.2.8.Qni-23,1,0.036,0.111,4.974
11.csv,21.2.8.Qni-24,1,0.061,0.124,4.552
12.csv,21.2.8.Qni-25,1,0.036,0.139,4.756
13.csv,21.2.8.Qni-26,1,0.029,0.115,5.129
14.csv,21.2.8.Qni-27,1,0.012,0.119,4.664
15.csv,21.2.8.Qni-32,1,0.124,0.099,4.833
16.csv,21.2.8.Qni-42,1,0.022,0.11,5.233
17.csv,21.2.8.Qni-43,1,0.021,0.168,5.546
18.csv,21.2.8.Qni-47,1,0.008,0.065,3.217
19.csv,21.2.8.Qni-49,1,0.035,0.162,5.694
20.csv,21.2.8.Qni-50,1,0.366,0.133,4.86
21.csv,22.1.8-YB-DS-04,2,0.314,0.107,3.755
22.csv,22.1.8-YB-MA-07,2,0.13,0.117,5.03
23.csv,22.1.8-YB-MA-08,2,0.021,0.186,5.81
24.csv,22.1.8-YB-MD-01,2,0.049,0.095,4.945
25.csv,22.1.8-YB-MD-03,2,0.25,0.124,4.631
26.csv,22.1.8-YB-NA-02,2,0.372,0.045,3.105
27.csv,22.1.8-YB-NA-03,2,0.453,0.095,4.028
28.csv,22.1.8-YB-NA-04,2,0.377,0.191,7.173
29.csv,22.1.8-YB-NA-05,2,0.325,0.144,5.767
30.csv,22.1.8-YB-TH-01,2,0.123,0.057,2.899
31.csv,22.1.8.Qna-01,3,0.271,0.147,6.695
32.csv,22.1.8.Qna-03,3,0.251,0.068,3.593
33.csv,22.1.8.Qna-05,3,0.453,0.068,3.575
34.csv,22.1.8.Qna-08,3,0.201,0.098,4.202
35.csv,22.1.8.Qna-09,3,0.129,0.099,4.094
36.csv,22.1.8.Qna-11,3,0.125,0.047,2.922
37.csv,22.1.8.Qna-13,3,0.126,0.084,3.814
38.csv,22.1.8.Qna-16,3,0.229,0.098,4.994
39.csv,22.1.8.Qna-18,3,0.191,0.092,4.52
40.csv,22.1.8.Qna-23,3,0.216,0.087,5.157
41.csv,22.2.8.YB.DP-02,2,0.152,0.157,6.453
42.csv,22.2.8.YB.LTh-01,2,0.268,0.065,5.513
43.csv,22.2.8.YB.MA-06,2,0.911,0.068,6.332
44.csv,22.2.8.YB.MD-02,2,0.369,0.076,5.869
45.csv,22.2.8.YB.MV-01,2,0.548,0.081,4.981
46.csv,22.2.8.YB.MV-04,2,0.186,0.123,6.436
47.csv,22.2.8.YB.SH-01,2,0.175,0.131,4.172
48.csv,22.2.8.YB.XA-03,2,0.406,0.073,4.772
